1026	1042	120220	120280
1026	1065	186000	186060
1026	1084	102720	102780
1026	1115	36540	36600
1026	1115	39280	39360
1026	1115	42380	42440
1026	1115	103840	103920
1026	1115	106440	106500
1026	1115	175260	175380
1026	1115	175480	175580
1026	1115	175620	175880
1026	1115	175920	175980
1026	1115	176160	176240
1026	1115	208500	208640
1026	1115	209840	209940
1029	1073	203620	203760
1029	1073	204100	204180
1029	1073	204260	204340
1029	1073	204400	204640
1029	1073	204700	204760
1029	1126	124500	124560
1029	1138	105020	105200
1029	1138	105380	106400
1029	1144	107020	107180
1029	1149	106840	106900
1029	1149	107200	107300
1029	1149	107360	107420
1029	1149	108320	108380
1029	1149	108480	108580
1029	1149	125120	125180
1029	1149	125300	125520
1029	1149	125580	125740
1029	1149	187340	187440
1029	1158	106600	106740
1029	1191	105040	105120
1029	1206	125300	125360
1029	1228	126240	127120
1029	1360	106820	107020
1029	1360	108500	108720
1029	1360	109060	109120
1029	1360	110560	110780
1029	1360	111500	111560
1029	1360	117560	117620
1029	1360	123640	123900
1029	1360	124100	124180
1029	1360	124500	124580
1032	1042	10220	10280
1032	1042	10520	10600
1032	1042	11360	11580
1032	1042	12640	12760
1032	1042	96840	97000
1032	1042	97420	97500
1032	1042	97560	97900
1032	1042	97960	98060
1032	1042	100760	100880
1032	1042	100920	101020
1032	1042	103880	103940
1032	1042	106360	106480
1032	1042	111840	111920
1032	1042	130040	130140
1032	1042	182140	182240
1032	1042	182360	182540
1032	1042	182600	182900
1032	1042	192140	192220
1032	1042	194180	194240
1032	1042	196400	196460
1032	1042	203440	203540
1032	1042	203580	203680
1032	1042	210720	211040
1032	1085	176240	176320
1032	1088	40700	40780
1032	1088	40820	40880
1032	1179	126380	126440
1032	1179	126680	126740
1032	1179	127160	127220
1033	1089	109280	109560
1033	1100	110540	110680
1033	1156	203980	204160
1033	1168	110960	111340
1033	1179	179400	179460
1033	1179	179500	179660
1033	1179	180180	180240
1033	1179	180480	180720
1033	1188	117440	117540
1033	1193	118300	118680
1033	1201	27460	27520
1033	1201	27560	27620
1033	1201	27700	27760
1033	1201	32120	32200
1033	1201	32360	32420
1033	1201	33140	33440
1033	1201	33820	33880
1033	1201	35400	35460
1033	1201	37560	37860
1033	1201	38160	38380
1033	1201	39020	39740
1033	1201	40100	40160
1033	1201	40500	40600
1033	1201	107880	107940
1033	1201	108040	108260
1033	1201	108420	108520
1033	1201	110540	110780
1033	1201	111360	111600
1033	1201	112700	112780
1033	1201	112820	112880
1033	1201	113560	113740
1033	1201	113860	114120
1033	1201	116580	116720
1033	1201	116760	116840
1033	1201	117040	117100
1033	1201	117560	117640
1033	1201	187140	187200
1033	1201	187480	187540
1033	1201	187620	187700
1033	1201	195460	195520
1033	1201	206620	206680
